,Дата операции,Дата платежа,Номер карты,Статус,Сумма операции,Валюта операции,Сумма платежа,Валюта платежа,Кэшбэк,Категория,MCC,Описание,Бонусы (включая кэшбэк),Округление на инвесткопилку,Сумма операции с округлением
0,2021-12-31,31.12.2021,*7197,OK,-160.89,RUB,-160.89,RUB,,Супермаркеты,5411.0,Колхоз,3,0,160.89
1,2021-12-31,31.12.2021,*7197,OK,-64.0,RUB,-64.0,RUB,,Супермаркеты,5411.0,Колхоз,1,0,64.0
2,2021-12-31,31.12.2021,*7197,OK,-118.12,RUB,-118.12,RUB,,Супермаркеты,5411.0,Магнит,2,0,118.12
3,2021-12-31,31.12.2021,*7197,OK,-78.05,RUB,-78.05,RUB,,Супермаркеты,5411.0,Колхоз,1,0,78.05
20,2021-12-28,28.12.2021,*7197,OK,-381.48,RUB,-381.48,RUB,,Супермаркеты,5411.0,Колхоз,7,0,381.48
22,2021-12-28,28.12.2021,*7197,OK,-422.22,RUB,-422.22,RUB,,Супермаркеты,5411.0,Магнит,8,0,422.22
26,2021-12-27,27.12.2021,*7197,OK,-40.0,RUB,-40.0,RUB,,Супермаркеты,5411.0,Evo_Lyzhnyj,0,0,40.0
62,2021-12-22,22.12.2021,*7197,OK,-60.0,RUB,-60.0,RUB,,Супермаркеты,5411.0,Колхоз,1,0,60.0
76,2021-12-20,20.12.2021,*7197,OK,-172.69,RUB,-172.69,RUB,,Супермаркеты,5411.0,Дикси,3,0,172.69
86,2021-12-18,18.12.2021,*7197,OK,-829.0,RUB,-829.0,RUB,,Супермаркеты,5411.0,Лента,16,0,829.0
92,2021-12-17,17.12.2021,*7197,OK,-192.78,RUB,-192.78,RUB,,Супермаркеты,5411.0,Колхоз,3,0,192.78
93,2021-12-17,17.12.2021,*7197,OK,-214.46,RUB,-214.46,RUB,,Супермаркеты,5411.0,Магнит,4,0,214.46
114,2021-12-14,14.12.2021,*7197,OK,-309.0,RUB,-309.0,RUB,,Супермаркеты,5411.0,Колхоз,6,0,309.0
115,2021-12-14,14.12.2021,*7197,OK,-227.23,RUB,-227.23,RUB,,Супермаркеты,5411.0,Дикси,4,0,227.23
122,2021-12-11,11.12.2021,*7197,OK,-70.0,RUB,-70.0,RUB,,Супермаркеты,5411.0,Колхоз,1,0,70.0
127,2021-12-11,11.12.2021,*7197,OK,-51.99,RUB,-51.99,RUB,,Супермаркеты,5411.0,Магнит,1,0,51.99
132,2021-12-10,10.12.2021,*7197,OK,-91.8,RUB,-91.8,RUB,,Супермаркеты,5411.0,Перекрёсток,1,0,91.8
135,2021-12-09,09.12.2021,*7197,OK,-201.24,RUB,-201.24,RUB,,Супермаркеты,5411.0,Колхоз,4,0,201.24
136,2021-12-09,09.12.2021,*7197,OK,-369.0,RUB,-369.0,RUB,,Супермаркеты,5411.0,Колхоз,7,0,369.0
137,2021-12-09,09.12.2021,*7197,OK,-90.1,RUB,-90.1,RUB,,Супермаркеты,5411.0,Колхоз,1,0,90.1
141,2021-12-09,09.12.2021,*7197,OK,-65.9,RUB,-65.9,RUB,,Супермаркеты,5411.0,Перекрёсток,1,0,65.9
151,2021-12-07,07.12.2021,*7197,OK,-41.0,RUB,-41.0,RUB,,Супермаркеты,5411.0,Перекрёсток,0,0,41.0
157,2021-12-06,06.12.2021,*7197,OK,-179.77,RUB,-179.77,RUB,,Супермаркеты,5411.0,Дикси,3,0,179.77
160,2021-12-05,06.12.2021,*7197,OK,-161.7,RUB,-161.7,RUB,,Супермаркеты,5411.0,Перекрёсток,3,0,161.7
163,2021-12-04,05.12.2021,*7197,OK,-109.8,RUB,-109.8,RUB,,Супермаркеты,5411.0,Перекрёсток,2,0,109.8
170,2021-12-03,03.12.2021,*7197,OK,-204.8,RUB,-204.8,RUB,,Супермаркеты,5411.0,Колхоз,4,0,204.8
